time,ax,ay,az,wx,wy,wz
2022-02-17 5:48:14.8990 p.m.,-0.17,0.0,0.57,-0.07,-0.06,-0.02
2022-02-17 5:48:14.9090 p.m.,-0.01,0.04,0.0,0.0,0.07,-0.02
2022-02-17 5:48:14.9190 p.m.,0.24,0.01,-0.38,0.06,0.14,-0.01
2022-02-17 5:48:14.9290 p.m.,0.3,-0.1,-0.43,0.08,0.12,0.0
2022-02-17 5:48:14.9390 p.m.,0.23,-0.04,-0.2,0.05,0.05,-0.0
2022-02-17 5:48:14.9490 p.m.,0.09,0.0,0.1,-0.02,-0.03,-0.01
2022-02-17 5:48:14.9590 p.m.,-0.03,0.0,0.26,-0.07,-0.07,-0.01
2022-02-17 5:48:14.9690 p.m.,-0.12,0.05,0.2,-0.07,-0.07,-0.01
2022-02-17 5:48:14.9790 p.m.,-0.14,0.08,0.08,-0.08,-0.01,-0.0
2022-02-17 5:48:14.9890 p.m.,-0.09,0.06,-0.06,-0.03,0.03,0.0
2022-02-17 5:48:14.9990 p.m.,-0.05,0.04,-0.14,0.02,0.05,-0.0
2022-02-17 5:48:15.0090 p.m.,-0.04,-0.01,-0.07,0.05,0.05,-0.01
2022-02-17 5:48:15.0190 p.m.,-0.08,-0.04,0.03,0.06,0.05,-0.02
2022-02-17 5:48:15.0290 p.m.,-0.1,-0.04,0.08,0.05,0.03,-0.03
2022-02-17 5:48:15.0390 p.m.,-0.05,0.0,0.06,0.04,0.03,-0.03
2022-02-17 5:48:15.0490 p.m.,0.0,0.0,0.08,0.01,0.03,-0.02
2022-02-17 5:48:15.0590 p.m.,0.05,0.0,0.11,0.0,0.03,-0.02
2022-02-17 5:48:15.0690 p.m.,0.13,0.0,0.1,0.0,0.03,-0.01
2022-02-17 5:48:15.0790 p.m.,0.16,-0.04,0.11,0.0,0.03,-0.0
2022-02-17 5:48:15.0900 p.m.,0.15,0.0,0.09,0.0,0.02,-0.0
2022-02-17 5:48:15.0990 p.m.,0.11,0.06,0.06,-0.0,0.02,-0.0
2022-02-17 5:48:15.1100 p.m.,0.05,0.03,0.0,-0.01,0.02,-0.01
2022-02-17 5:48:15.1200 p.m.,-0.03,-0.01,-0.06,-0.02,0.03,-0.02
2022-02-17 5:48:15.1300 p.m.,-0.05,-0.02,-0.07,-0.01,0.04,-0.03
2022-02-17 5:48:15.1400 p.m.,-0.07,0.01,0.0,0.01,0.06,-0.03
2022-02-17 5:48:15.1500 p.m.,-0.13,-0.03,0.06,0.03,0.09,-0.02
2022-02-17 5:48:15.1600 p.m.,-0.14,-0.04,0.06,0.04,0.1,-0.02
2022-02-17 5:48:15.1700 p.m.,-0.04,0.01,0.12,0.06,0.08,-0.02
2022-02-17 5:48:15.1800 p.m.,-0.07,-0.06,0.17,0.08,0.05,-0.01
2022-02-17 5:48:15.1900 p.m.,-0.04,0.0,0.21,0.09,-0.02,0.0
2022-02-17 5:48:15.2000 p.m.,-0.09,0.03,0.28,0.11,-0.04,0.02
2022-02-17 5:48:15.2100 p.m.,-0.14,0.05,0.27,0.13,0.0,-0.0
2022-02-17 5:48:15.2200 p.m.,-0.17,-0.04,-0.02,0.13,0.03,-0.01
2022-02-17 5:48:15.2300 p.m.,-0.11,0.11,-0.23,0.11,0.06,-0.01
2022-02-17 5:48:15.2400 p.m.,-0.1,0.2,-0.23,0.09,0.11,-0.0
2022-02-17 5:48:15.2500 p.m.,-0.14,0.07,-0.24,0.1,0.17,0.01
2022-02-17 5:48:15.2540 p.m.,-0.03,0.08,-0.32,0.12,0.23,0.01
2022-02-17 5:48:15.2680 p.m.,-0.09,0.16,-0.36,0.12,0.27,-0.0
2022-02-17 5:48:15.2770 p.m.,-0.2092298213392496,0.09,-0.32,0.09,0.26,-0.01
2022-02-17 5:48:15.2870 p.m.,-0.21,0.09,-0.32,0.03,0.28,-0.01
2022-02-17 5:48:15.2970 p.m.,-0.42,0.17,-0.49,-0.03,0.29,-0.01
2022-02-17 5:48:15.3080 p.m.,-0.34,0.14,-0.57,-0.06,0.32,-0.01
2022-02-17 5:48:15.3170 p.m.,-0.34,0.14,-0.57,-0.05,0.36,0.05
2022-02-17 5:48:15.3270 p.m.,-0.47,0.34,-0.93,0.01,0.38,0.06
2022-02-17 5:48:15.3380 p.m.,-0.62,0.11,-0.98,0.07,0.45,0.04
2022-02-17 5:48:15.3470 p.m.,-0.62,0.11,-0.98,0.11,0.57,0.03
2022-02-17 5:48:15.3570 p.m.,-0.22,0.08,-1.24,0.19,0.55,0.05
2022-02-17 5:48:15.3680 p.m.,-0.39,0.1,-0.67,0.22,0.58,0.11
2022-02-17 5:48:15.3780 p.m.,-0.39,0.1,-0.67,0.21,0.54,0.16
2022-02-17 5:48:15.3880 p.m.,-0.4,0.05,-0.42,0.16,0.48,0.17
