time,ax,ay,az,wx,wy,wz
2022-02-17 5:50:23.2700 p.m.,-0.15,0.09,0.69,-0.38,-0.28,-0.06
2022-02-17 5:50:23.2750 p.m.,-0.04,-0.02,-0.23,-0.3,-0.09,-0.06
2022-02-17 5:50:23.2850 p.m.,-0.02,0.08,-0.86,-0.16,0.08,-0.06
2022-02-17 5:50:23.2950 p.m.,-0.01,0.16,-1.08,-0.01,0.17,-0.04
2022-02-17 5:50:23.3050 p.m.,-0.14,0.09,-0.48,-0.01,0.17,-0.04
2022-02-17 5:50:23.3160 p.m.,-0.14,0.09,-0.48,0.2,0.14,0.01
2022-02-17 5:50:23.3260 p.m.,-0.25,0.11,-0.11,0.21,0.03,0.01
2022-02-17 5:50:23.3360 p.m.,-0.32,0.07,0.27,0.15,-0.09,0.01
2022-02-17 5:50:23.3470 p.m.,-0.36,0.08,0.58,0.06,-0.19,0.02
2022-02-17 5:50:23.3570 p.m.,-0.38,0.13,0.75,-0.04,-0.28,0.01
2022-02-17 5:50:23.3670 p.m.,-0.34,0.14,0.76,-0.12,-0.29,0.01
2022-02-17 5:50:23.3760 p.m.,-0.3,0.17,0.6,-0.15,-0.27,0.0
2022-02-17 5:50:23.3870 p.m.,-0.19,0.18,0.29,-0.11,-0.21,0.01
2022-02-17 5:50:23.3970 p.m.,-0.13,0.2,-0.02,-0.05,-0.14,0.01
2022-02-17 5:50:23.4060 p.m.,-0.09,0.19,-0.26,0.04,-0.07,0.03
2022-02-17 5:50:23.4170 p.m.,-0.09,0.17,-0.39,0.1,-0.02,0.04
2022-02-17 5:50:23.4260 p.m.,-0.1,0.17,-0.45,0.12,0.0,0.06
2022-02-17 5:50:23.4370 p.m.,-0.1,0.11,-0.38,0.11,-0.0,0.06
2022-02-17 5:50:23.4470 p.m.,-0.13,0.11,-0.19,0.07,-0.03,0.06
2022-02-17 5:50:23.4570 p.m.,-0.14,0.06,-0.05,0.03,-0.08,0.05
2022-02-17 5:50:23.4680 p.m.,-0.2,0.11,-0.11,-0.02,-0.1,0.05
2022-02-17 5:50:23.4780 p.m.,-0.2,0.11,-0.11,-0.06,-0.12,0.05
2022-02-17 5:50:23.4870 p.m.,-0.29,0.19,-0.15,-0.1,-0.13,0.05
2022-02-17 5:50:23.4970 p.m.,-0.24,0.17,-0.14,-0.13,-0.12,0.06
2022-02-17 5:50:23.5060 p.m.,-0.2,0.17,-0.11,-0.14,-0.11,0.06
2022-02-17 5:50:23.5170 p.m.,-0.15,0.14,-0.03,-0.12,-0.08,0.07
2022-02-17 5:50:23.5270 p.m.,-0.11,0.12,0.01,-0.07,-0.07,0.08
2022-02-17 5:50:23.5370 p.m.,-0.08,0.08,-0.01,0.0,-0.07,0.09
2022-02-17 5:50:23.5470 p.m.,-0.1,0.04,0.0,0.07,-0.06,0.09
2022-02-17 5:50:23.5570 p.m.,-0.14,0.03,0.01,0.1,-0.05,0.1
2022-02-17 5:50:23.5670 p.m.,-0.13,0.07,-0.02,0.09,-0.04,0.09
2022-02-17 5:50:23.5770 p.m.,-0.12,0.08,0.05,0.05,-0.03,0.09
2022-02-17 5:50:23.5870 p.m.,-0.15,0.11,0.21,-0.0,-0.04,0.09
2022-02-17 5:50:23.5970 p.m.,-0.2,0.13,0.32,-0.04,-0.07,0.07
2022-02-17 5:50:23.6070 p.m.,-0.21,0.12,0.27,-0.06,-0.08,0.07
2022-02-17 5:50:23.6180 p.m.,-0.19,0.15,0.07,-0.07,-0.11,0.06
2022-02-17 5:50:23.6270 p.m.,-0.26,0.14,0.0,-0.06,-0.14,0.06
2022-02-17 5:50:23.6380 p.m.,-0.31,0.14,-0.03,-0.06,-0.14,0.06
2022-02-17 5:50:23.6470 p.m.,-0.3,0.13,-0.15,-0.05,-0.11,0.06
2022-02-17 5:50:23.6570 p.m.,-0.32,0.15,-0.2,-0.05,-0.07,0.05
2022-02-17 5:50:23.6670 p.m.,-0.34,0.21,-0.17,-0.04,-0.04,0.07
2022-02-17 5:50:23.6770 p.m.,-0.36,0.26,-0.23,-0.04,0.0,0.09
2022-02-17 5:50:23.6880 p.m.,-0.45,0.38,-0.27,-0.02,0.03,0.1
2022-02-17 5:50:23.6980 p.m.,-0.5,0.34,-0.17,-0.02,0.04,0.11
2022-02-17 5:50:23.7070 p.m.,-0.56,0.28,-0.14,-0.03,0.02,0.11
2022-02-17 5:50:23.7180 p.m.,-0.71,0.2,-0.07,-0.06,-0.02,0.13
2022-02-17 5:50:23.7270 p.m.,-0.85,0.19,0.05,-0.1,-0.07,0.17
2022-02-17 5:50:23.7380 p.m.,-0.9,0.56,0.09,-0.14,-0.12,0.2
2022-02-17 5:50:23.7480 p.m.,-1.13,0.62,0.11,-0.15,-0.14,0.22
